id,name,family,safety,suggested_ns_color,confidence,reason
"4ea08815-e52c-41da-89dc-6af8fb2e3d5a","Balance Pad Heel Raise Hold","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"4a384c41-93af-49f8-b422-fca03f16963e","Dynamic Balance","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"39ea4113-3b39-4754-897e-6301d379efea","Single Leg Drop Landing","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"f6497be5-eae1-4190-ba0a-41d4887269cd","BOSU Ball Single Leg Balance","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"01edc9c9-d8b3-4eae-a79f-16c460cb0d6b","Hip Scour","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"d86cea87-bd38-4d8a-9bac-56832853c607","Single Leg Wall Sit","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"0148e7df-6f04-44de-84e9-ca98a205fb3b","Balance / Vertigo / Wobble","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"1caf15b8-cb26-4021-a2ae-e0bca6a59e94","Foot Bridge Toe Touches","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"bdc58e7d-7a73-4cdc-8060-f7b570b71a29","A Skip","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
"e6510654-ffac-415e-83f9-672c061dd5ac","Assisted Banded Side Kick","Balance","green","Green","low","ambiguous family 'Balance' + safety=green → defaults Green, needs review"
